bmi_percentile,physical_activity_days_code,computer_use_code,sleep_code,sex_code,age_code,survey_weight,physical_activity_days,computer_use_hours,sleep_hours,female,sex_label,age_years_approx
66.5318241,2.0,3.0,4.0,2.0,7.0,1.8559,1.0,1.0,7.0,1.0,Female,18.0
98.17431868,1.0,1.0,1.0,1.0,1.0,1.3264,0.0,0.0,4.0,0.0,Male,12.0
33.07553097,1.0,1.0,6.0,1.0,6.0,1.3507,0.0,0.0,9.0,0.0,Male,17.0
45.68833421,7.0,2.0,5.0,1.0,6.0,1.5899,6.0,0.5,8.0,0.0,Male,17.0
62.39033084,6.0,2.0,5.0,1.0,6.0,1.5899,5.0,0.5,8.0,0.0,Male,17.0
13.9696424,1.0,3.0,5.0,1.0,6.0,1.5899,0.0,1.0,8.0,0.0,Male,17.0
80.35879541,1.0,3.0,5.0,1.0,6.0,1.5899,0.0,1.0,8.0,0.0,Male,17.0
80.08049978,2.0,4.0,5.0,1.0,5.0,1.5899,1.0,2.0,8.0,0.0,Male,16.0
35.25725233,4.0,2.0,5.0,1.0,6.0,1.5899,3.0,0.5,8.0,0.0,Male,17.0
80.35879541,6.0,2.0,4.0,1.0,6.0,1.5899,5.0,0.5,7.0,0.0,Male,17.0
76.77275392,1.0,7.0,3.0,1.0,7.0,1.5899,0.0,5.0,6.0,0.0,Male,18.0
41.90226796,8.0,2.0,4.0,2.0,3.0,1.9541,7.0,0.5,7.0,1.0,Female,14.0
49.68153626,8.0,5.0,3.0,2.0,4.0,1.8873,7.0,3.0,6.0,1.0,Female,15.0
50.94662272,8.0,7.0,3.0,2.0,4.0,1.9541,7.0,5.0,6.0,1.0,Female,15.0
69.5988229,5.0,1.0,5.0,2.0,3.0,1.9541,4.0,0.0,8.0,1.0,Female,14.0
98.54569735,4.0,2.0,4.0,2.0,4.0,1.9541,3.0,0.5,7.0,1.0,Female,15.0
99.62699856,3.0,2.0,5.0,2.0,5.0,1.9541,2.0,0.5,8.0,1.0,Female,16.0
95.67686938,1.0,4.0,2.0,2.0,3.0,1.9541,0.0,2.0,5.0,1.0,Female,14.0
66.97871065,6.0,4.0,5.0,2.0,3.0,1.9541,5.0,2.0,8.0,1.0,Female,14.0
77.24197648,8.0,3.0,2.0,1.0,6.0,1.4373,7.0,1.0,5.0,0.0,Male,17.0
96.7831408,2.0,6.0,1.0,1.0,4.0,1.4373,1.0,4.0,4.0,0.0,Male,15.0
42.1484795,5.0,1.0,4.0,1.0,5.0,1.4373,4.0,0.0,7.0,0.0,Male,16.0
94.07864967,2.0,3.0,4.0,1.0,5.0,1.4373,1.0,1.0,7.0,0.0,Male,16.0
92.75239448,1.0,6.0,3.0,1.0,4.0,0.406,0.0,4.0,6.0,0.0,Male,15.0
94.79064882,1.0,4.0,5.0,1.0,4.0,1.4373,0.0,2.0,8.0,0.0,Male,15.0
41.70582009,4.0,6.0,5.0,1.0,5.0,1.4373,3.0,4.0,8.0,0.0,Male,16.0
96.62103194,1.0,2.0,5.0,1.0,5.0,1.4373,0.0,0.5,8.0,0.0,Male,16.0
